ID в ИС ГТИБД,Название,Название (англ.),Адрес (ручной),Дом,Район,Округ,Город,Улица,Адрес,Ближайшее метро,Ближайшая линия метро,Расстояние до метро,Метро (широта),Метро (долгота),Телефоны,Сайт,Email,Кухня,Доступно для людей с ограниченными возможностями,Геопозиция (широта),Геопозиция (долгота)
845,Da Albertone,Da Albertone,"Санкт-Петербург, ул. Миллионная, д. 23",23,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Миллионная улица,"Санкт-Петербург, Миллионная улица, 23",Адмиралтейская,Фрунзенско-Приморская линия,1174,59.935867,30.31523,915-55-01,http://www.daalbertone.ru/,,"Итальянская, Японская",0,59.942849,30.321761
846,Александр,Alexander,"Санкт-Петербург, ул. Большая Пушкарская, д.15",15,Петроградский,муниципальный округ Кронверкское,Санкт-Петербург,Большая Пушкарская улица,"Санкт-Петербург, Большая Пушкарская улица, 15",Чкаловская,Фрунзенско-Приморская линия,865,59.961138,30.292018,+7‒921‒900‒22‒13 +7‒921‒912‒22‒13,www.alexander-rest.ru,,"Европейская, Русская",0,59.958034,30.303049
847,DolceAmaro,DolceAmaro,"Санкт-Петербург, ул. Барочная д. 10",10,Петроградский,муниципальный округ Чкаловское,Санкт-Петербург,Барочная улица,"Санкт-Петербург, Барочная улица, 10",Чкаловская,Фрунзенско-Приморская линия,911,59.961138,30.292018,"(812) 380-80-40, +7(967) 535-24-32",http://www.dolceamaro.ru/,info@dolceamaro.ru,Домашняя,0,59.967511,30.288056
848,Джеймс Кук,Djeims Kyk,"Санкт-Петербург, Шведский пер., дом 2",2,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Шведский переулок,"Санкт-Петербург, Шведский переулок, 2",Невский Проспект,Московско-Петроградская линия,522,59.935421,30.327052,(812) 951 22 02,http://www.jcpub.ru/,forjc.info@gmail.com,Европейская,0,59.938892,30.325534
849,Джеймс Кук,Djeims Kyk,"Санкт-Петербург, Каменоостровский пр., д.45",45,Петроградский,муниципальный округ Аптекарский Остров,Санкт-Петербург,Каменноостровский проспект,"Санкт-Петербург, Каменноостровский проспект, 45",Петроградская,Московско-Петроградская линия,314,59.966394,30.311502,(812) 936-04-05,http://www.jcpub.ru/,forjc.info@gmail.com,Европейская,0,59.968903,30.308906
850,Jamie's Italian,Jamie's Italian,"Санкт-Петербург Конюшенная площадь, 2",2,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Конюшенная площадь,"Санкт-Петербург, Конюшенная площадь, 2",Невский Проспект,Московско-Петроградская линия,603,59.935421,30.327052,"(812) 600-25-70, (812) 903-00-80",http://www.jamieoliver.com/italian/russia/st-petersburg,info@jamiesitalian.ru,Итальянская,0,59.94033,30.327986
851,Дамаск,Damask,"Санкт-Петербург, 8-я линия В.О., д.55",55,Василеостровский,муниципальный округ Васильевский,Санкт-Петербург,8-я линия В.О.,"Санкт-Петербург, 8-я линия В.О., 55",Василеостровская,Невско-Василеостровская линия,312,59.942516,30.278274,328-80-22,http://damask-spb.ru/,damask@gmail.com,"Арабская, Восточная, Европейская",0,59.94367,30.274968
852,Дамаск,Damask,"Санкт-Петербург, Кронверкский пр., д. 45",45,Петроградский,муниципальный округ Кронверкское,Санкт-Петербург,Кронверкский проспект,"Санкт-Петербург, Кронверкский проспект, 45",Горьковская,Московско-Петроградская линия,448,59.956057,30.318904,498-55-88,http://damask-spb.ru/,damask@gmail.com,"Арабская, Восточная, Европейская",0,59.956908,30.31294
853,Даниель,Daniel,"г. Пушкин, ул. Средняя, д. 2/3",2/3,Пушкинский,,Пушкин,Средняя улица,"Пушкин, Средняя улица, 2/3",,,1,,,(812) 466-91-16,http://www.restaurant-daniel.ru/,4078050@mail.ru,"Авторская, Европейская, Итальянская",0,59.71961,30.396285
854,Дастархан,Dastarhan,"Санкт-Петербург, Загородный пр., д. 70",70,Адмиралтейский,муниципальный округ Семеновский,Санкт-Петербург,Загородный проспект,"Санкт-Петербург, Загородный проспект, 70",Технологический Институт,Московско-Петроградская линия,191,59.916437,30.318824,"8(812) 575-02-30, 666-66-66",http://triton-restoran.ru/restaurants/dastarxan/about,,Восточная,0,59.916951,30.32062
855,Дежа Вю,Deja Vu,"Санкт-Петербург, наб. Фонтанки, д. 30",30,Центральный,муниципальный округ Литейный,Санкт-Петербург,набережная реки Фонтанки,"Санкт-Петербург, набережная реки Фонтанки, 30",Гостиный Двор,Невско-Василеостровская линия,918,59.933938,30.333745,273-4304 и 273-34-06,http://dejavu-cabare.ru/,"r1780r@mail.ru, info@dejavu-cabare.ru","Русская,  Европейская",0,59.938518,30.34394
856,Декабрист,Decabrist,"Санкт-Петербург, ул. Якубовича, д. 2",2,Адмиралтейский,муниципальный округ Адмиралтейский,Санкт-Петербург,улица Якубовича,"Санкт-Петербург, улица Якубовича, 2",Адмиралтейская,Фрунзенско-Приморская линия,864,59.935867,30.31523,912-18-91,http://decabrist.net/,mail@decabrist.net,"Авторская, Восточная, Европейская",0,59.933609,30.30357
857,Демидовъ,Demidov,"Санкт-Петербург, Набережная реки Фонтанки 14",14,Центральный,муниципальный округ Литейный,Санкт-Петербург,набережная реки Фонтанки,"Санкт-Петербург, набережная реки Фонтанки, 14",Гостиный Двор,Невско-Василеостровская линия,1185,59.933938,30.333745,(812) 309-54-12,http://superbanquet.ru/index.php?productID=315,,"Русская, Европейская",0,59.941691,30.339736
858,Деникин,Denikin,"Санкт-Петербург, Куйбышева ул., д. 28",,Петроградский,муниципальный округ Посадский,Санкт-Петербург,,"Санкт-Петербург, Петроградский район, улица Куйбышева, 28а",Горьковская,Московско-Петроградская линия,1055,59.956057,30.318904,(812) 498-6000,http://www.denikin.spb.ru/,,"Европейская, Русская",0,59.957003,30.330978
859,Джельсомино кафе,Djelsomino Kafe,"Санкт-Петербург, Полтавская ул., д. 5/29",5,Центральный,муниципальный округ Лиговка-Ямская,Санкт-Петербург,Полтавская улица,"Санкт-Петербург, Полтавская улица, 5",Площадь Восстания,Кировско-Выборгская линия,729,59.931517,30.360559,(812)703-57-96,http://www.jelsominocafe.ru/,,"Итальянская, Русская, Японская",0,59.927437,30.369659
860,Ginger,Ginger,"Санкт-Петербург, ул. Казанская д. 3",,Центральный,муниципальный округ № 78,Санкт-Петербург,,"Санкт-Петербург, Адмиралтейский район, Казанская улица, 3",Невский Проспект,Московско-Петроградская линия,412,59.935421,30.327052,(812) 912 96 21,http://ginza.ru/spb/restaurant/ginger,,Японская,0,59.933807,30.322004
861,Длинный хвост,Dlinniy Hvost,"Санкт-Петербург, Невский пр., д. 92",92,Центральный,муниципальный округ Литейный,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 92",Маяковская,Невско-Василеостровская линия,176,59.931427,30.355178,(812) 244 23 56,http://www.dlinniyhvost.ru/,,"Паназитская, Европейская",0,59.932166,30.353265
862,Достоевский Ф.М.,Dostoevsky,"Санкт-Петербург, Владимирский пр., д.9",9,Центральный,муниципальный округ Владимирский,Санкт-Петербург,Владимирский проспект,"Санкт-Петербург, Владимирский проспект, 9",Достоевская,Правобережная линия,451,59.928185,30.346204,(812) 740-18-20,http://goldengarden.ru/f.m.-dostoevskij.html,hotel@goldengarden.ru,Русская,0,59.930543,30.34739
863,Драго,Drago,"Санкт-Петербург, Приморский пр., д. 15",15,Приморский,муниципальный округ Черная Речка,Санкт-Петербург,Приморский проспект,"Санкт-Петербург, Приморский проспект, 15",Чёрная Речка,Московско-Петроградская линия,653,59.985377,30.300902,"430-69-84, Факс : 430-88-23",http://www.drago.ru/,drago@restoran.spb.ru,"Европейская, Средиземноморская, Югославская",0,59.984386,30.29385
864,Ё-моё бар,E moe Bar,"Санкт-Петербург, ул. Купчинская, д.15, к.1",15к1,Фрунзенский,муниципальный округ Георгиевский,Санкт-Петербург,Купчинская улица,"Санкт-Петербург, Купчинская улица, 15к1",Купчино,Московско-Петроградская линия,2804,59.829328,30.375588,"(812) 706-72-48, 8 (931) 297-73-73, 8 (951) 683-37-73",http://е-мое.рф,cafeemoe@mail.ru,"Европейская, Кавказская, Русская",0,59.838534,30.383951
865,Есенин,Esenin,"Санкт-Петербург, ул. Есенина д.1",1к1,Выборгский,муниципальный округ Сосновское,Санкт-Петербург,улица Есенина,"Санкт-Петербург, улица Есенина, 1к1",Озерки,Московско-Петроградская линия,1497,60.037027,30.321734,(812)692-92-18,http://www.restaurant-esenin.ru/,restoran.esenin@mail.ru,"Европейская, Русская",0,60.030074,30.33078
866,ZaLive,ZaLive,"Санкт-Петербург, пос. Репино, Приморское шоссе, 422 б,",422б,Курортный,,Санкт-Петербург,Приморское шоссе,"Санкт-Петербург, Приморское шоссе, 422б",,,1,,,(812) 903-48-84,http://zalive.su/,"info@zalive.su, zalive@mail.ru","Русская, Рыбная, Европейская, Кавказская, Авторская",0,60.163499,29.860728
867,Zioni,Zioni,"Санкт-Петербург, пр. Стачек, д. 105",105,Кировский,муниципальный округ Красненькая Речка,Санкт-Петербург,проспект Стачек,"Санкт-Петербург, проспект Стачек, 105",Проспект Ветеранов,Кировско-Выборгская линия,2144,59.84211,30.250588,753-95-05; +7(921)960-2173,http://www.restoclub-zioni.ru/,info@restoclub-zioni.ru,"Грузинская, Европейская, Русская",0,59.854603,30.24235
870,Заферан,Zaferan,"Санкт-Петербург,  ул. Ярославская, д.4",4,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,Ярославская улица,"Санкт-Петербург, Ярославская улица, 4",,,1,,,(812) 904-58-82,http://zaferan.su/,,"Кавказская, Европейская",0,59.944666,30.389889
871,Золотой гранат,Zolotoy Granat,"Санкт-Петербург, пр.Старо-Петергофский д.15",15,Адмиралтейский,муниципальный округ Екатерингофский,Санкт-Петербург,Старо-Петергофский проспект,"Санкт-Петербург, Старо-Петергофский проспект, 15",Нарвская,Кировско-Выборгская линия,1366,59.901111,30.275004,922-26-77,http://vk.com/zolotoy_granat,,"Авторская, Армянская, Европейская",0,59.912513,30.27654
872,Il Lago Dei Cigni,Il Lago Dei Cigni,"Санкт-Петербург, Крестовский остров, Крестовский проспект, д. 21, литера Б",21,Петроградский,муниципальный округ Чкаловское,Санкт-Петербург,Крестовский проспект,"Санкт-Петербург, Крестовский проспект, 21",Крестовский Остров,Фрунзенско-Приморская линия,1005,59.971708,30.259481,(812) 602–07-07,http://illago.ru/rus/cont/glavnaja-cns-240001/,il_lago@mail.ru,"Авторская, Итальянская",0,59.969844,30.249222
873,Иvбирь,Imbir,"Санкт-Петербург, Камышовая ул., д. 31",27,Приморский,муниципальный округ Юнтолово,Санкт-Петербург,Камышовая улица,"Санкт-Петербург, Камышовая улица, 27",,,1,,,"(812) 327-25-44, 8 (952) 392-81-22",http://restoinbir.ru/,restoran.inbir@mail.ru,"Восточная, Грузинская, Европейская",0,60.008846,30.230438
874,Campania,Campania,"Санкт-Петербург, ул. Ефимова, д. 3",3,Адмиралтейский,муниципальный округ Сенной,Санкт-Петербург,улица Ефимова,"Санкт-Петербург, улица Ефимова, 3",Спасская,Правобережная линия,139,59.926575,30.319839,(812)926- 3456,http://vk.com/club62409361,,Итальянская,0,59.925056,30.320225
875,CASA del МЯСО,CASA del Myaso,"Санкт-Петербург, Биржевой проезд, д. 6",6,Василеостровский,муниципальный округ № 7,Санкт-Петербург,Биржевой проезд,"Санкт-Петербург, Биржевой проезд, 6",Спортивная,Фрунзенско-Приморская линия,1547,59.951772,30.290688,(812)320-97-46,http://www.we-love-meat.ru/,info@welovemeat.ru,"Европейская, Мясная",0,59.943674,30.301297
876,Crazy Hunter,Crazy Hunter,"Санкт-Петербург, Расстанная ул. , д. 2 , лит. А, корп. 1",2,Фрунзенский,муниципальный округ Волковское,Санкт-Петербург,Расстанная улица,"Санкт-Петербург, Расстанная улица, 2",Обводный Канал,Фрунзенско-Приморская линия,980,59.914583,30.349636,(812) 339-18-01,http://crazyhunter.spb.ru/,crazyhunter@bristol-hotel.spb.ru,"Охотничья, Авторская, Европейская",0,59.908719,30.341407
877,KROO CAFE,KROO CAFE,"Санкт-Петербург, Суворовский пр. 27 / 9 - ая Советская ул. д. 11",11,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,9-я Советская улица,"Санкт-Петербург, 9-я Советская улица, 11",Площадь Восстания,Кировско-Выборгская линия,1275,59.931517,30.360559,+ 7 (906) 273 11 11,http://www.kroocafe.com/,,"Русская, Французская",0,59.937405,30.374339
878,The Kitchen,The Kitchen,"Санкт-Петербург, просп. Московский, д.73",73,Адмиралтейский,муниципальный округ Измайловское,Санкт-Петербург,Московский проспект,"Санкт-Петербург, Московский проспект, 73",Фрунзенская,Московско-Петроградская линия,213,59.906179,30.31753,(812) 952 85 85,http://www.thekitchen.ru/,,Европейская,0,59.90427,30.317844
879,Кабинет-Портрет,Kabinet-Portreit,"Санкт-Петербург, угол Малой Московской и Достоевского,9.",9,Центральный,муниципальный округ Владимирский,Санкт-Петербург,улица Достоевского,"Санкт-Петербург, улица Достоевского, 9",Владимирская,Кировско-Выборгская линия,383,59.927464,30.348172,"(812) 712-43-21, 920-41-15",http://www.fotorestoran.ru/,,"Русская, Европейская, Восточная",0,59.925304,30.349348
880,Кавказ-Бар,Kavkaz Bar,"Санкт-Петербург, ул. Караванная, д. 18/37",18,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Караванная улица,"Санкт-Петербург, Караванная улица, 18",Гостиный Двор,Невско-Василеостровская линия,694,59.933938,30.333745,"312-16-65, 315-30-72",http://www.kavkaz-bar.ru/,kavkaz-bar@mail.ru,"Армянская, Восточная, Грузинская",0,59.934858,30.342413
881,Камелот,Kamelot,"Санкт-Петербург, Шоссе Революции, д. 84",84,Красногвардейский,муниципальный округ Ржевка,Санкт-Петербург,шоссе Революции,"Санкт-Петербург, шоссе Революции, 84",,,1,,,(812) 324-33-37,http://www.kamelotspb.ru/,,"Восточная, Европейская",0,59.961183,30.452789
882,Канвас,Kanvas,"Санкт-Петербург, ул. Почтамтская, д. 4.",4,Адмиралтейский,муниципальный округ Адмиралтейский,Санкт-Петербург,Почтамтская улица,"Санкт-Петербург, Почтамтская улица, 4",Адмиралтейская,Фрунзенско-Приморская линия,773,59.935867,30.31523,(812) 380-40-00,http://www.rensaintpetersburg.ru/hotel-restaurants,petersburg.res@marriott.com,"Русская, Французская, Европейская",0,59.932387,30.30463
883,Капулетти,Kapuletti,"Санкт-Петербург, П.С., Большой пр., д. 74",74,Выборгский,муниципальный округ Сампсониевское,Санкт-Петербург,Большой Сампсониевский проспект,"Санкт-Петербург, Большой Сампсониевский проспект, 74",Лесная,Кировско-Выборгская линия,1040,59.984719,30.344237,(812)232-22-82,http://www.capuletti.info/,,"Авторская, Итальянская",0,59.982217,30.335766
884,Карина,Karina,"Всеволожск, Армянский пер., д. 11",11,,,Всеволожский район,Армянский переулок,"Ленинградская область, Всеволожск, Армянский переулок, 11",,,1,,,(81370) 40-067,http://www.motelkarina.ru/,motelkarina@yandex.ru,"Европейская, Армянская",0,59.997707,30.659878
885,Кастом,Kastom,"Санкт-Петербург, пр. Косыгина, д. 7, к. 2",7к2,Красногвардейский,муниципальный округ Пороховые,Санкт-Петербург,проспект Косыгина,"Санкт-Петербург, проспект Косыгина, 7к2",,,1,,,(812) 520 81 56,http://kastomrest.ru/,,"Домашняя, Средиземноморская",0,59.941984,30.469669
886,«Квартира №162»,Kvartira №162,"Санкт-Петербург, Лиговский проспект 123",,,,,,,,,1,,,8 (812) 493-31-62,http://restoranchik-kv.ru/,kv-rest@bk.ru,"Европейская, Русская",0,,
887,«Квартира №55»,Kvartira №55,"Санкт-Петербург, 1-линия В.О., 36",36,Василеостровский,муниципальный округ № 7,Санкт-Петербург,1-я линия В.О.,"Санкт-Петербург, 1-я линия В.О., 36",Василеостровская,Невско-Василеостровская линия,946,59.942516,30.278274,327-74-44,http://restoranchik-kv.ru/,kv-rest@bk.ru,"Европейская, Русская",0,59.944008,30.287221
888,«Квартира №147»,Kvartira №147,"Санкт-Петербург, пр.Авиаконструкторов, 47",47,Приморский,муниципальный округ Юнтолово,Санкт-Петербург,проспект Авиаконструкторов,"Санкт-Петербург, проспект Авиаконструкторов, 47",,,1,,,340-18-40,http://restoranchik-kv.ru/,kv-rest@bk.ru,"Европейская, Русская",0,60.026963,30.225866
889,«Квартира №286»,Kvartira №286,"Санкт-Петербург, пр.Просвещения, 41",41,Выборгский,муниципальный округ № 15,Санкт-Петербург,проспект Просвещения,"Санкт-Петербург, проспект Просвещения, 41",,,1,,,599-54-57,http://restoranchik-kv.ru/,kv-rest@bk.ru,"Европейская, Русская",0,60.047178,30.359553
890,Киликия,Kikilia,"Санкт-Петербург, канал Грибоедова, д.40",40,Центральный,муниципальный округ № 78,Санкт-Петербург,набережная канала Грибоедова,"Санкт-Петербург, набережная канала Грибоедова, 40",Сенная Площадь,Московско-Петроградская линия,474,59.926972,30.320458,"(812) 327 22 08, ф.(812) 327 21 90",http://www.kilikia.spb.ru/,,"Европейская, Средиземноморская",0,59.930318,30.320099
891,Князь,Kniaz,"Санкт-Петербург, улица Фурштатская, 24",24,Центральный,муниципальный округ Литейный,Санкт-Петербург,Фурштатская улица,"Санкт-Петербург, Фурштатская улица, 24",Чернышевская,Кировско-Выборгская линия,326,59.944436,30.359975,"(812) 404 06 71, +7 921 903 07 19",http://kochubeyclub.ru/restoran/,info@kochubeyclub.ru,"Европейская, Русская",0,59.945297,30.355214
892,Корчма,Korchma,"Санкт-Петербург, пр. Энгельса, д. 83",83,Выборгский,муниципальный округ Светлановское,Санкт-Петербург,проспект Энгельса,"Санкт-Петербург, проспект Энгельса, 83",Удельная,Московско-Петроградская линия,1140,60.016604,30.315823,(812) 554-29-60,http://www.korchma-spb.ru/,korchmaspb@list.ru,"Европейская, Русская",0,60.023803,30.319946
893,Корюшка,Korushka,"Санкт-Петербург, Заячий остров, Петропавловская крепость, д. 3",,Петроградский,муниципальный округ Кронверкское,Санкт-Петербург,,"Санкт-Петербург, Заячий остров",Горьковская,Московско-Петроградская линия,1099,59.956057,30.318904,(812) 917 90 10,http://ginza.ru/spb/restaurant/korushka,,"Кавказская, Европейская",0,59.95006,30.315913
894,Котильон,Kotilion,"Санкт-Петербург, пр. Добролюбова, д. 19",19,Петроградский,муниципальный округ Введенский,Санкт-Петербург,проспект Добролюбова,"Санкт-Петербург, проспект Добролюбова, 19",Спортивная,Фрунзенско-Приморская линия,561,59.951772,30.290688,"903-07-18, 498-40-85",http://www.9619965.ru/cotilion,r9619965@yandex.ru,"Европейская, Русская",0,59.949947,30.299438
895,Кристофф,Kristoff,"Санкт-Петербург, пр. Загородный, д. 9",9,Центральный,муниципальный округ Владимирский,Санкт-Петербург,Загородный проспект,"Санкт-Петербург, Загородный проспект, 9",Достоевская,Правобережная линия,255,59.928185,30.346204,(812)572-27-01,http://www.kristoff-cafe.ru/,info@kristoff-cafe.ru,"Европейская, Японская",0,59.926941,30.34412
896,Куба-бар,Cuba Bar,"Санкт-Петербург, ул. Гороховая, д.28",28,Центральный,муниципальный округ № 78,Санкт-Петербург,Гороховая улица,"Санкт-Петербург, Гороховая улица, 28",Сенная Площадь,Московско-Петроградская линия,358,59.926972,30.320458,(812) 310-33-11,http://www.cubabar.ru/,cuba-bar@mail.ru,"Европейская, Кубинская, Русская",0,59.929858,30.320189
897,Кухня,Kuhnia,"Санкт-Петербург Набережная Фонтанки, дом 77",77,Центральный,муниципальный округ № 78,Санкт-Петербург,набережная реки Фонтанки,"Санкт-Петербург, набережная реки Фонтанки, 77",Сенная Площадь,Московско-Петроградская линия,676,59.926972,30.320458,"(812) 310 06 89            (812) 310 52 80",http://vk.com/restorankuhnya,info@restorankuhnya.com,Итальянская,Французская,0,59.925741,30.327465
898,La Botanique,La Botanique,"Санкт-Петербург, 11 линия Васильевского Острова, д. 50",50,Василеостровский,муниципальный округ Васильевский,Санкт-Петербург,11-я линия В.О.,"Санкт-Петербург, 11-я линия В.О., 50",Василеостровская,Невско-Василеостровская линия,583,59.942516,30.278274,"(812) 323-22-31, ф.(812) 328-35-46",http://www.nashotel.ru/restaurant/,info@nashotel.ru,"Европейская, Русская",0,59.943431,30.270243
899,La Maree,La Maree,"Санкт-Петербург, Суворовский пр., д. 34",34,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,Суворовский проспект,"Санкт-Петербург, Суворовский проспект, 34",Чернышевская,Кировско-Выборгская линия,1501,59.944436,30.359975,(812) 719-83-83,http://www.lamaree-spb.ru/,lamaree.spb@gmail.com,"Авторская, Средиземноморская",0,59.940321,30.378175
900,Le Restaurant,Le Restaurant,"Санкт-Петербург, Большой пр., П.С, д. 37",37,Выборгский,муниципальный округ Сампсониевское,Санкт-Петербург,Большой Сампсониевский проспект,"Санкт-Петербург, Большой Сампсониевский проспект, 37",Выборгская,Кировско-Выборгская линия,639,59.970925,30.347408,(812) 332-42-22,http://vedenskyhotel.ru/restaurants-and-bars/60-le-restaurant,reservation@vedenskyhotel.ru,"Русская, Европейская, Средиземноморская",0,59.967349,30.342791
901,Leon,Leon,"Санкт-Петербург, Бабушкина ул., д. 91",91к1,Невский,муниципальный округ Обуховский,Санкт-Петербург,улица Бабушкина,"Санкт-Петербург, улица Бабушкина, 91к1",Ломоносовская,Невско-Василеостровская линия,908,59.877253,30.441812,(812) 996-55-48,http://restoran-leon.ru/,nevsky-stars@mail.ru,"Европейская, Восточная",0,59.87061,30.448702
903,Лангуст,Langust,"Санкт-Петербург, Большой пр. П.С., д. 84",84,Петроградский,муниципальный округ Аптекарский Остров,Санкт-Петербург,Большой проспект П.С.,"Санкт-Петербург, Большой проспект П.С., 84",Петроградская,Московско-Петроградская линия,287,59.966394,30.311502,(812) 449 56 00,www.restoranlangust.ru,ofis-langust@yandex.ru,"Итальянская, Рыбная, Средиземноморская",0,59.96425,30.309346
904,Ресторан Легран,Legran,"Санкт-Петербург, Милионная ул., д. 4, к. 1",4,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Миллионная улица,"Санкт-Петербург, Миллионная улица, 4",Невский Проспект,Московско-Петроградская линия,1200,59.935421,30.327052,(812) 740-18-20,http://www.legran-rest.ru/,info@legran-rest.ru,"Европейская, Русская, Французская",0,59.943719,30.325211
905,Лесной,Lesnoy,"Санкт-Петербург,  Лесной проспект, д.48",48,Выборгский,муниципальный округ Сампсониевское,Санкт-Петербург,Лесной проспект,"Санкт-Петербург, Лесной проспект, 48",Лесная,Кировско-Выборгская линия,484,59.984719,30.344237,(812) 907-62-62,http://www.restoran-lesnoy.ru/,9600001@gmail.com,"Европейская, Восточная, Русская",0,59.981613,30.342045
906,Летний Дворец,Letniy Dvorec,"Санкт-Петербургское шоссе, д. 130, к. 7",130к7,Петродворцовый,,Санкт-Петербург,Санкт-Петербургское шоссе,"Санкт-Петербург, поселок Стрельна, Санкт-Петербургское шоссе, 130к7",,,1,,,(812) 324 45 45,http://www.summerpalace.ru/,info@summerpalace.ru,"Европейская, Русская",0,59.866703,29.977185
907,Летучий Голландец,Letychiy Golandec,"Санкт-Петербург, Мытнинская набережная  6 , рядом с Биржевым мостом.",7,Петроградский,муниципальный округ Введенский,Санкт-Петербург,Мытнинская набережная,"Санкт-Петербург, Мытнинская набережная, 7",Спортивная,Фрунзенско-Приморская линия,893,59.951772,30.290688,8 (812) 313-88-66 8 (812) 336-37-37 8 (921) 921- 36 -76,http://www.gollandec.ru/,letgol@mail.ru,"Латиноамериканская, Японская, Европейская",0,59.94832,30.304271
908,Литературное кафе,Literatyrnoe Kafe,"Санкт-Петербург, Невский пр., д. 18",18,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 18",Адмиралтейская,Фрунзенско-Приморская линия,282,59.935867,30.31523,(812) 312-60-57,http://www.litcafe.su/,3126057@mail.ru,"Европейская, Русская",0,59.936399,30.318294
909,Любимое Место «22.13»,"Lubimoe Mesto ""22.13""","Санкт-Петербург, Конюшенная пл., д. 2",2,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Конюшенная площадь,"Санкт-Петербург, Конюшенная площадь, 2",Невский Проспект,Московско-Петроградская линия,603,59.935421,30.327052,(812) 647-80-50,http://globalpointfamily.com/restaurants/14,,"Европейская, Тайская, Вегетарианская",0,59.94033,30.327986
910,Luce,Luce,"Санкт-Петербург, Итальянская ул., д. 15",15,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Итальянская улица,"Санкт-Петербург, Итальянская улица, 15",Гостиный Двор,Невско-Василеостровская линия,209,59.933938,30.333745,(812) 449-93-63,http://www.grandp.ru/,secretary@grandp.ru,"Средиземноморская, Авторская, Итальянская",0,59.935421,30.333403
911,Nihao,Nihao,"Невский проспект, 78, Невский проспект, 112,Невский проспект, 160",160,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 160",Площадь Александра Невского 2,Правобережная линия,645,59.923563,30.383421,"(812) 612-85-02 ,(812) 612-85-03(812,) 612-85-02",http://www.nihaorest.com/,9267599@mail.ru,"Китайская, Японская",0,59.926995,30.376316
912,NZ,NZ,"Санкт-Петербург, Рижский пр., д. 52",52,Адмиралтейский,муниципальный округ Екатерингофский,Санкт-Петербург,Рижский проспект,"Санкт-Петербург, Рижский проспект, 52",Нарвская,Кировско-Выборгская линия,1525,59.901111,30.275004,"8 904 619-63-16, 8 905 264-66-99, (812) 251-31-90",,,"Восточная, Европейская, Итальянская",0,59.913108,30.278947
913,На Елисейских Полях,Na Eliseevskih Poliah,"Санкт-Петербург, Московский пр., д. 200",200,Московский,муниципальный округ Московская Застава,Санкт-Петербург,Московский проспект,"Санкт-Петербург, Московский проспект, 200",Парк Победы,Московско-Петроградская линия,813,59.866269,30.321887,(812) 373-30-47,http://www.eprestoran.ru/,restoran@eprestoran.ru,Французская,0,59.860315,30.321608
914,На здоровье!,Na zdorovie!,"Санкт-Петербург, Большой проспект П.С., д. 13",13,Петроградский,муниципальный округ Введенский,Санкт-Петербург,Большой проспект П.С.,"Санкт-Петербург, Большой проспект П.С., 13",Спортивная,Фрунзенско-Приморская линия,803,59.951772,30.290688,+7 (812) 232-40-39,http://nazdorovie-spb.ru/,,Русская,0,59.955084,30.295288
915,На речке,Na rechke,"Санкт-Петербург, ул. Ольгина д.8 (Крестовский остров)",8,Петроградский,муниципальный округ Чкаловское,Санкт-Петербург,улица Ольгина,"Санкт-Петербург, улица Ольгина, 8",Крестовский Остров,Фрунзенско-Приморская линия,1531,59.971708,30.259481,"+7 (812) 230–03–47, +7 (812) 943–09–74",http://narechke.com/,info@narechke.ru,"Европейская, Кавказская, Японская",0,59.973888,30.278615
916,Невская жемчужина,Nevskaya Jemcujina,"Санкт-Петербург, проспект Обуховской обороны, д. 26",26,Невский,муниципальный округ Невская Застава,Санкт-Петербург,проспект Обуховской Обороны,"Санкт-Петербург, проспект Обуховской Обороны, 26",Елизаровская,Невско-Василеостровская линия,1715,59.896644,30.423774,"(812) 412-31-20, 412-12-77",http://resto.azbukait.ru/,ooo-dvit@mail.ru,"Кавказская, Европейская, Восточная",0,59.908412,30.415024
917,Ресторан Нектарин,Nektarin,"Санкт-Петербург, ул. Пулковская, дом 8, корп. 1,",8к1,Московский,муниципальный округ Звездное,Санкт-Петербург,Пулковская улица,"Санкт-Петербург, Пулковская улица, 8к1",Звёздная,Московско-Петроградская линия,708,59.833127,30.349438,"(812) 240-05-20, (812) 33-929-33",http://nektarinspb.ru/,2400876@mail.ru,"Итальянская, Русская, Японская",0,59.838331,30.350453
